PR_ms,QRS_ms,QT_ms,QTc_ms,n_beats
136.5,150.0,350.0,325.25,7.666666666666667
126.66666666666667,160.0,360.0,228.91666666666666,6.333333333333333
132.33333333333334,160.0,356.6666666666667,475.0,3.75
108.41666666666667,150.0,350.0,215.7,3.6666666666666665
126.33333333333333,133.0,333.0,204.63636363636363,7.5
142.75,133.0,333.0,283.75,8.166666666666666
95.83333333333333,150.0,350.0,258.1666666666667,9.833333333333334
123.0,150.0,350.0,346.8333333333333,10.333333333333334
93.66666666666667,160.0,360.0,514.6363636363636,4.166666666666667
137.0,114.0,314.0,265.5833333333333,6.75
113.91666666666667,133.0,333.0,263.75,6.583333333333333
120.25,160.0,360.8333333333333,482.6363636363636,3.9166666666666665
105.66666666666667,133.0,333.0,190.66666666666666,8.25
117.18181818181819,150.0,350.0,251.9,9.083333333333334
122.25,133.0,333.0,286.0,10.0
150.58333333333334,154.0,354.0,342.1666666666667,9.166666666666666
154.25,150.0,350.0,297.8333333333333,6.25
103.16666666666667,160.0,360.0,582.0,5.083333333333333
125.08333333333333,150.0,350.0,327.75,8.083333333333334
91.66666666666667,160.0,360.0,296.75,8.75
88.41666666666667,160.0,360.0,548.0,4.333333333333333
149.0,150.0,350.0,294.4,8.916666666666666
111.08333333333333,133.0,333.0,251.4,7.333333333333333
103.58333333333333,114.0,314.0,206.75,6.666666666666667
118.75,150.0,350.0,264.8181818181818,9.416666666666666
126.08333333333333,150.0,350.0,332.5833333333333,8.0
137.83333333333334,160.0,359.0,531.0909090909091,4.083333333333333
128.16666666666666,150.0,350.0,306.75,7.416666666666667
96.66666666666667,160.0,360.0,265.0,7.416666666666667
74.58333333333333,160.0,361.25,521.1818181818181,3.8333333333333335
133.41666666666666,150.0,350.0,262.09090909090907,8.583333333333334
131.66666666666666,160.0,360.0,188.0,5.75
116.75,133.0,333.0,231.75,7.333333333333333
60.0,133.0,333.0,423.6363636363636,15.5
115.66666666666667,150.0,350.0,356.0833333333333,9.583333333333334
79.25,160.0,358.5,516.1666666666666,4.25
141.66666666666666,150.0,350.0,311.25,7.083333333333333
88.33333333333333,160.0,360.0,253.33333333333334,6.75
106.25,160.0,357.0833333333333,464.3,3.5
133.5,150.0,350.0,296.9166666666667,14.0
132.5,160.0,360.0,293.0,7.416666666666667
127.5,160.0,360.0,310.54545454545456,9.416666666666666
125.0,150.0,350.0,278.75,10.25
132.33333333333334,150.0,350.0,312.0,6.333333333333333
82.91666666666667,160.0,360.0,504.6363636363636,4.083333333333333
145.91666666666666,150.0,350.0,320.4166666666667,7.0
105.0,160.0,360.0,289.8333333333333,11.0
133.66666666666666,160.0,357.0833333333333,484.8181818181818,4.0
